id,name,formula
1,Quadratic Formula,x = (-b ± sqrt(b**2 - 4*a*c)) / (2*a)
2,Area of Circle,A = pi * r**2
3,Pythagorean Theorem,c**2 = a**2 + b**2
4,Slope Formula,m = (y2 - y1) / (x2 - x1)
5,Distance Formula,d = sqrt((x2 - x1)**2 + (y2 - y1)**2)
6,Derivative of Power Function,d/dx(x**n) = n * x**(n - 1)
7,Integral of Power Function,∫x**n dx = x**(n + 1)/(n + 1) + C
8,Chain Rule,d/dx(f(g(x))) = f'(g(x)) * g'(x)
9,Product Rule,d/dx(f*g) = f'*g + f*g'
10,Quotient Rule,d/dx(f/g) = (f'*g - f*g') / g**2
11,Integration by Parts,∫u dv = u*v - ∫v du
12,Area of Triangle,A = 0.5 * b * h
13,Volume of Sphere,V = (4/3) * pi * r**3
14,Trigonometric Identity,sin(theta)**2 + cos(theta)**2 = 1
15,Sum of Angles,sin(A + B) = sin(A)*cos(B) + cos(A)*sin(B)
16,Difference of Angles,cos(A - B) = cos(A)*cos(B) + sin(A)*sin(B)
17,Binomial Theorem,(a + b)**n = Σ (nCk * a**(n-k) * b**k)
18,Logarithm Law 1,log(a*b) = log(a) + log(b)
19,Logarithm Law 2,log(a/b) = log(a) - log(b)
20,Exponential Function,d/dx(e**x) = e**x
21,Matrix Determinant 2x2,|A| = ad - bc
22,Matrix Inverse 2x2,"A^-1 = (1/(ad - bc)) * [[d, -b], [-c, a]]"
23,Dot Product,A·B = |A|*|B|*cos(theta)
24,Cross Product,A×B = |A|*|B|*sin(theta) * n̂
25,Mean,μ = (Σx) / N
26,Variance,σ² = Σ(x - μ)² / N
27,Standard Deviation,σ = sqrt(Σ(x - μ)² / N)
28,Bayes' Theorem,P(A|B) = (P(B|A) * P(A)) / P(B)
29,Normal Distribution PDF,f(x) = (1/(σ√(2π))) * e**(-0.5*((x - μ)/σ)**2)
30,Euler's Formula,e**(i*θ) = cos(θ) + i*sin(θ)
